datetime,discharge,qualifiers
2021-08-30T06:00:00.000-04:00,16.0,['A']
2021-08-30T06:15:00.000-04:00,16.0,['A']
2021-08-30T06:30:00.000-04:00,16.0,['A']
2021-08-30T06:45:00.000-04:00,16.0,['A']
2021-08-30T07:00:00.000-04:00,16.0,['A']
2021-08-30T07:15:00.000-04:00,15.6,['A']
2021-08-30T07:30:00.000-04:00,15.6,['A']
2021-08-30T07:45:00.000-04:00,16.0,['A']
2021-08-30T08:00:00.000-04:00,15.6,['A']
2021-08-30T08:15:00.000-04:00,16.0,['A']
2021-08-30T08:30:00.000-04:00,15.6,['A']
2021-08-30T08:45:00.000-04:00,15.6,['A']
2021-08-30T09:00:00.000-04:00,15.6,['A']
2021-08-30T09:15:00.000-04:00,15.6,['A']
2021-08-30T09:30:00.000-04:00,15.6,['A']
2021-08-30T09:45:00.000-04:00,15.6,['A']
2021-08-30T10:00:00.000-04:00,15.6,['A']
2021-08-30T10:15:00.000-04:00,15.6,['A']
2021-08-30T10:30:00.000-04:00,15.6,['A']
2021-08-30T10:45:00.000-04:00,15.6,['A']
2021-08-30T11:00:00.000-04:00,15.6,['A']
2021-08-30T11:15:00.000-04:00,15.2,['A']
2021-08-30T11:30:00.000-04:00,15.6,['A']
2021-08-30T11:45:00.000-04:00,15.2,['A']
2021-08-30T12:00:00.000-04:00,15.2,['A']
2021-08-30T12:15:00.000-04:00,15.2,['A']
2021-08-30T12:30:00.000-04:00,15.2,['A']
2021-08-30T12:45:00.000-04:00,15.2,['A']
2021-08-30T13:00:00.000-04:00,15.2,['A']
2021-08-30T13:15:00.000-04:00,15.6,['A']
2021-08-30T13:30:00.000-04:00,15.2,['A']
2021-08-30T13:45:00.000-04:00,15.2,['A']
2021-08-30T14:00:00.000-04:00,15.2,['A']
2021-08-30T14:15:00.000-04:00,15.2,['A']
2021-08-30T14:30:00.000-04:00,15.2,['A']
2021-08-30T14:45:00.000-04:00,15.2,['A']
2021-08-30T15:00:00.000-04:00,15.2,['A']
2021-08-30T15:15:00.000-04:00,14.8,['A']
2021-08-30T15:30:00.000-04:00,14.8,['A']
2021-08-30T15:45:00.000-04:00,14.8,['A']
2021-08-30T16:00:00.000-04:00,14.8,['A']
2021-08-30T16:15:00.000-04:00,15.2,['A']
2021-08-30T16:30:00.000-04:00,14.8,['A']
2021-08-30T16:45:00.000-04:00,14.8,['A']
2021-08-30T17:00:00.000-04:00,14.8,['A']
2021-08-30T17:15:00.000-04:00,14.8,['A']
2021-08-30T17:30:00.000-04:00,14.5,['A']
2021-08-30T17:45:00.000-04:00,14.8,['A']
2021-08-30T18:00:00.000-04:00,14.8,['A']
2021-08-30T18:15:00.000-04:00,14.5,['A']
2021-08-30T18:30:00.000-04:00,14.8,['A']
2021-08-30T18:45:00.000-04:00,14.5,['A']
2021-08-30T19:00:00.000-04:00,14.5,['A']
2021-08-30T19:15:00.000-04:00,14.5,['A']
2021-08-30T19:30:00.000-04:00,14.8,['A']
2021-08-30T19:45:00.000-04:00,14.5,['A']
2021-08-30T20:00:00.000-04:00,14.5,['A']
2021-08-30T20:15:00.000-04:00,14.5,['A']
2021-08-30T20:30:00.000-04:00,14.5,['A']
2021-08-30T20:45:00.000-04:00,14.8,['A']
2021-08-30T21:00:00.000-04:00,14.5,['A']
2021-08-30T21:15:00.000-04:00,14.5,['A']
