datetime,discharge,qualifiers
2023-09-28T02:15:00.000-04:00,43.6,['A']
2023-09-28T02:30:00.000-04:00,42.8,['A']
2023-09-28T02:45:00.000-04:00,41.1,['A']
2023-09-28T03:00:00.000-04:00,42.0,['A']
2023-09-28T03:15:00.000-04:00,42.8,['A']
2023-09-28T03:30:00.000-04:00,41.1,['A']
2023-09-28T03:45:00.000-04:00,40.3,['A']
2023-09-28T04:00:00.000-04:00,42.0,['A']
2023-09-28T04:15:00.000-04:00,40.3,['A']
2023-09-28T04:30:00.000-04:00,41.1,['A']
2023-09-28T04:45:00.000-04:00,40.3,['A']
2023-09-28T05:00:00.000-04:00,38.7,['A']
2023-09-28T05:15:00.000-04:00,41.1,['A']
2023-09-28T05:30:00.000-04:00,40.3,['A']
2023-09-28T05:45:00.000-04:00,38.7,['A']
2023-09-28T06:00:00.000-04:00,36.4,['A']
2023-09-28T06:15:00.000-04:00,39.5,['A']
2023-09-28T06:30:00.000-04:00,40.3,['A']
2023-09-28T06:45:00.000-04:00,39.5,['A']
2023-09-28T07:00:00.000-04:00,39.5,['A']
2023-09-28T07:15:00.000-04:00,38.7,['A']
2023-09-28T07:30:00.000-04:00,38.7,['A']
2023-09-28T07:45:00.000-04:00,37.2,['A']
2023-09-28T08:00:00.000-04:00,38.7,['A']
2023-09-28T08:15:00.000-04:00,38.7,['A']
2023-09-28T08:30:00.000-04:00,38.0,['A']
2023-09-28T08:45:00.000-04:00,38.0,['A']
2023-09-28T09:00:00.000-04:00,38.7,['A']
2023-09-28T09:15:00.000-04:00,38.0,['A']
2023-09-28T09:30:00.000-04:00,37.2,['A']
2023-09-28T09:45:00.000-04:00,38.0,['A']
2023-09-28T10:00:00.000-04:00,38.0,['A']
2023-09-28T10:15:00.000-04:00,37.2,['A']
2023-09-28T10:30:00.000-04:00,37.2,['A']
2023-09-28T10:45:00.000-04:00,38.7,['A']
2023-09-28T11:00:00.000-04:00,37.2,['A']
2023-09-28T11:15:00.000-04:00,38.7,['A']
2023-09-28T11:30:00.000-04:00,37.2,['A']
2023-09-28T11:45:00.000-04:00,38.0,['A']
2023-09-28T12:00:00.000-04:00,35.7,['A']
2023-09-28T12:15:00.000-04:00,37.2,['A']
2023-09-28T12:30:00.000-04:00,36.4,['A']
2023-09-28T12:45:00.000-04:00,37.2,['A']
2023-09-28T13:00:00.000-04:00,36.4,['A']
2023-09-28T13:15:00.000-04:00,37.2,['A']
2023-09-28T13:30:00.000-04:00,36.4,['A']
2023-09-28T13:45:00.000-04:00,35.0,['A']
2023-09-28T14:00:00.000-04:00,35.7,['A']
2023-09-28T14:15:00.000-04:00,34.2,['A']
2023-09-28T14:30:00.000-04:00,36.4,['A']
2023-09-28T14:45:00.000-04:00,34.2,['A']
2023-09-28T15:00:00.000-04:00,35.7,['A']
2023-09-28T15:15:00.000-04:00,34.2,['A']
2023-09-28T15:30:00.000-04:00,35.7,['A']
2023-09-28T15:45:00.000-04:00,36.4,['A']
2023-09-28T16:00:00.000-04:00,35.7,['A']
2023-09-28T16:15:00.000-04:00,35.0,['A']
2023-09-28T16:30:00.000-04:00,35.0,['A']
2023-09-28T16:45:00.000-04:00,35.0,['A']
2023-09-28T17:00:00.000-04:00,33.5,['A']
2023-09-28T17:15:00.000-04:00,35.0,['A']
2023-09-28T17:30:00.000-04:00,35.0,['A']
2023-09-28T17:45:00.000-04:00,35.0,['A']
2023-09-28T18:00:00.000-04:00,35.0,['A']
2023-09-28T18:15:00.000-04:00,35.7,['A']
2023-09-28T18:30:00.000-04:00,34.2,['A']
2023-09-28T18:45:00.000-04:00,33.5,['A']
2023-09-28T19:00:00.000-04:00,34.2,['A']
2023-09-28T19:15:00.000-04:00,32.8,['A']
2023-09-28T19:30:00.000-04:00,33.5,['A']
2023-09-28T19:45:00.000-04:00,34.2,['A']
2023-09-28T20:00:00.000-04:00,35.0,['A']
2023-09-28T20:15:00.000-04:00,33.5,['A']
2023-09-28T20:30:00.000-04:00,35.0,['A']
2023-09-28T20:45:00.000-04:00,34.2,['A']
2023-09-28T21:00:00.000-04:00,34.2,['A']
2023-09-28T21:15:00.000-04:00,33.5,['A']
2023-09-28T21:30:00.000-04:00,32.1,['A']
2023-09-28T21:45:00.000-04:00,33.5,['A']
2023-09-28T22:00:00.000-04:00,32.8,['A']
2023-09-28T22:15:00.000-04:00,32.8,['A']
2023-09-28T22:30:00.000-04:00,33.5,['A']
2023-09-28T22:45:00.000-04:00,34.2,['A']
2023-09-28T23:00:00.000-04:00,34.2,['A']
2023-09-28T23:15:00.000-04:00,33.5,['A']
2023-09-28T23:30:00.000-04:00,35.0,['A']
2023-09-28T23:45:00.000-04:00,36.4,['A']
2023-09-29T00:00:00.000-04:00,36.4,['A']
2023-09-29T00:15:00.000-04:00,37.2,['A']
2023-09-29T00:30:00.000-04:00,39.5,['A']
2023-09-29T00:45:00.000-04:00,46.3,['A']
2023-09-29T01:00:00.000-04:00,51.8,['A']
2023-09-29T01:15:00.000-04:00,50.9,['A']
2023-09-29T01:30:00.000-04:00,51.8,['A']
2023-09-29T01:45:00.000-04:00,54.8,['A']
2023-09-29T02:00:00.000-04:00,63.3,['A']
2023-09-29T02:15:00.000-04:00,67.7,['A']
2023-09-29T02:30:00.000-04:00,70.1,['A']
2023-09-29T02:45:00.000-04:00,70.1,['A']
2023-09-29T03:00:00.000-04:00,72.4,['A']
2023-09-29T03:15:00.000-04:00,70.1,['A']
2023-09-29T03:30:00.000-04:00,71.2,['A']
2023-09-29T03:45:00.000-04:00,78.6,['A']
2023-09-29T04:00:00.000-04:00,98.0,['A']
2023-09-29T04:15:00.000-04:00,137.0,['A']
2023-09-29T04:30:00.000-04:00,151.0,['A']
2023-09-29T04:45:00.000-04:00,155.0,['A']
2023-09-29T05:00:00.000-04:00,143.0,['A']
2023-09-29T05:15:00.000-04:00,157.0,['A']
2023-09-29T05:30:00.000-04:00,161.0,['A']
2023-09-29T05:45:00.000-04:00,168.0,['A']
2023-09-29T06:00:00.000-04:00,177.0,['A']
2023-09-29T06:15:00.000-04:00,196.0,['A']
2023-09-29T06:30:00.000-04:00,211.0,['A']
2023-09-29T06:45:00.000-04:00,225.0,['A']
2023-09-29T07:00:00.000-04:00,259.0,['A']
2023-09-29T07:15:00.000-04:00,308.0,['A']
2023-09-29T07:30:00.000-04:00,348.0,['A']
2023-09-29T07:45:00.000-04:00,351.0,['A']
2023-09-29T08:00:00.000-04:00,363.0,['A']
2023-09-29T08:15:00.000-04:00,375.0,['A']
2023-09-29T08:30:00.000-04:00,399.0,['A']
2023-09-29T08:45:00.000-04:00,429.0,['A']
2023-09-29T09:00:00.000-04:00,456.0,['A']
2023-09-29T09:15:00.000-04:00,571.0,['A']
2023-09-29T09:30:00.000-04:00,686.0,['A']
2023-09-29T09:45:00.000-04:00,842.0,['A']
2023-09-29T10:00:00.000-04:00,1020.0,['A']
2023-09-29T10:15:00.000-04:00,1040.0,['A']
2023-09-29T10:30:00.000-04:00,1130.0,['A']
2023-09-29T10:45:00.000-04:00,1240.0,['A']
2023-09-29T11:00:00.000-04:00,1290.0,['A']
2023-09-29T11:15:00.000-04:00,1420.0,['A']
2023-09-29T11:30:00.000-04:00,1680.0,['A']
2023-09-29T11:45:00.000-04:00,1900.0,['A']
2023-09-29T12:00:00.000-04:00,2150.0,['A']
2023-09-29T12:15:00.000-04:00,2360.0,['A']
2023-09-29T12:30:00.000-04:00,2410.0,['A']
2023-09-29T12:45:00.000-04:00,2340.0,['A']
2023-09-29T13:00:00.000-04:00,2340.0,['A']
2023-09-29T13:15:00.000-04:00,2200.0,['A']
2023-09-29T13:30:00.000-04:00,2410.0,['A']
2023-09-29T13:45:00.000-04:00,2450.0,['A']
2023-09-29T14:00:00.000-04:00,2560.0,['A']
2023-09-29T14:15:00.000-04:00,2480.0,['A']
2023-09-29T14:30:00.000-04:00,2560.0,['A']
2023-09-29T14:45:00.000-04:00,2760.0,['A']
2023-09-29T15:00:00.000-04:00,2630.0,['A']
2023-09-29T15:15:00.000-04:00,2670.0,['A']
2023-09-29T15:30:00.000-04:00,2590.0,['A']
2023-09-29T15:45:00.000-04:00,2500.0,['A']
2023-09-29T16:00:00.000-04:00,2700.0,['A']
2023-09-29T16:15:00.000-04:00,2570.0,['A']
2023-09-29T16:30:00.000-04:00,2420.0,['A']
2023-09-29T16:45:00.000-04:00,2520.0,['A']
2023-09-29T17:00:00.000-04:00,2570.0,['A']
2023-09-29T17:15:00.000-04:00,2560.0,['A']
2023-09-29T17:30:00.000-04:00,2520.0,['A']
2023-09-29T17:45:00.000-04:00,2590.0,['A']
2023-09-29T18:00:00.000-04:00,2570.0,['A']
2023-09-29T18:15:00.000-04:00,2490.0,['A']
2023-09-29T18:30:00.000-04:00,2450.0,['A']
2023-09-29T18:45:00.000-04:00,2410.0,['A']
2023-09-29T19:00:00.000-04:00,2560.0,['A']
2023-09-29T19:15:00.000-04:00,2490.0,['A']
2023-09-29T19:30:00.000-04:00,2250.0,['A']
2023-09-29T19:45:00.000-04:00,2440.0,['A']
2023-09-29T20:00:00.000-04:00,2410.0,['A']
2023-09-29T20:15:00.000-04:00,2300.0,['A']
2023-09-29T20:30:00.000-04:00,2320.0,['A']
2023-09-29T20:45:00.000-04:00,2190.0,['A']
2023-09-29T21:00:00.000-04:00,2200.0,['A']
2023-09-29T21:15:00.000-04:00,2200.0,['A']
2023-09-29T21:30:00.000-04:00,2250.0,['A']
2023-09-29T21:45:00.000-04:00,2160.0,['A']
2023-09-29T22:00:00.000-04:00,2180.0,['A']
2023-09-29T22:15:00.000-04:00,2240.0,['A']
2023-09-29T22:30:00.000-04:00,2150.0,['A']
2023-09-29T22:45:00.000-04:00,2030.0,['A']
2023-09-29T23:00:00.000-04:00,2040.0,['A']
2023-09-29T23:15:00.000-04:00,2090.0,['A']
2023-09-29T23:30:00.000-04:00,1880.0,['A']
2023-09-29T23:45:00.000-04:00,1940.0,['A']
2023-09-30T00:00:00.000-04:00,1890.0,['A']
2023-09-30T00:15:00.000-04:00,1980.0,['A']
2023-09-30T00:30:00.000-04:00,1810.0,['A']
2023-09-30T00:45:00.000-04:00,1860.0,['A']
2023-09-30T01:00:00.000-04:00,1810.0,['A']
2023-09-30T01:15:00.000-04:00,1860.0,['A']
2023-09-30T01:30:00.000-04:00,1790.0,['A']
2023-09-30T01:45:00.000-04:00,1800.0,['A']
2023-09-30T02:00:00.000-04:00,1720.0,['A']
2023-09-30T02:15:00.000-04:00,1680.0,['A']
2023-09-30T02:30:00.000-04:00,1730.0,['A']
2023-09-30T02:45:00.000-04:00,1670.0,['A']
2023-09-30T03:00:00.000-04:00,1640.0,['A']
2023-09-30T03:15:00.000-04:00,1620.0,['A']
2023-09-30T03:30:00.000-04:00,1490.0,['A']
2023-09-30T03:45:00.000-04:00,1540.0,['A']
2023-09-30T04:00:00.000-04:00,1590.0,['A']
